config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.38970189701897,0.5881436314363145,0.6860433604336043,0.882130392191368,0.6607475955901495,0.3910569105691055,0.6334010840108402,0.735840108401084,0.8802423195422798,,,5.8
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.36124661246612466,0.5972899728997292,0.698238482384824,0.8441381450527793,0.6481163196070114,0.38495934959349576,0.6577913279132793,0.7568428184281845,0.8865391440086561,,,3.3
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.39918699186991846,0.6415311653116534,0.7236449864498646,0.8977065224311489,0.6975575691321804,0.3937669376693765,0.6497967479674798,0.7412601626016262,0.8896686366493606,,,4.4
A36,36,100100,tt + sp,2,"similar_table, same_page",0.39579945799457983,0.6300135501355013,0.6958672086720866,0.893773316334292,0.6801302828530834,0.39241192411924103,0.6228997289972901,0.7266937669376694,0.8911985875111402,,,3.4
A37,37,100101,tt + sp + sc,3,"similar_table, same_page, shared_column_name",0.38563685636856354,0.6531842818428182,0.7581978319783196,0.88162358192846,0.7031158603326999,0.36463414634146335,0.6151084010840107,0.7436314363143631,0.8494799354065767,,,5.1
A38,38,100110,tt + sp + cc,3,"similar_table, same_page, similar_content",0.39783197831978295,0.6083333333333334,0.711449864498645,0.891511828640178,0.6736780424180772,0.39512195121951205,0.6633468834688347,0.7429539295392954,0.8928352013717868,,,5.5
A39,39,100111,tt + sp + cc + sc,4,"similar_table, same_page, similar_content, shared_column_name",0.3795392953929537,0.6497967479674797,0.7378726287262872,0.8765071943884382,0.6932787766882013,0.3768292682926828,0.6606368563685637,0.7361788617886179,0.8675164266627682,,,5.7
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.40054200542005397,0.651016260162602,0.7683604336043358,0.9017920818305927,0.7169880673438985,0.37682926829268276,0.6369241192411925,0.738550135501355,0.8666987573641092,,,4.9
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.3971544715447153,0.5834010840108401,0.6880758807588075,0.8960115200968859,0.6643721503558789,0.397831978319783,0.6306910569105693,0.7426151761517614,0.8953174309881627,,,9.4
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.39850948509485074,0.6530487804878049,0.746680216802168,0.9013790433470836,0.7070398404838706,0.3924119241192411,0.6286585365853657,0.7270325203252032,0.8888368232880427,,,6.2
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.3829268292682925,0.6300135501355013,0.7418021680216802,0.8819291198864372,0.6920162127165557,0.36531165311653113,0.6537262872628727,0.7560298102981029,0.8589656447888155,,,4.0
