config,code,binary,label,num_edges,kept_edges,recall@1,recall@2,recall@5,recall@10,best_epoch,elapsed_min
A0,0,000000,No edges,0,none,0.8562874251497006,0.0,0.9441117764471058,0.9640718562874252,8,1.4
A1,1,000001,sc,1,shared_column_name,0.8263473053892215,0.0,0.9421157684630739,0.9760479041916168,14,3.3
A2,2,000010,cc,1,similar_content,0.8263473053892215,0.0,0.9401197604790419,0.9680638722554891,7,1.5
A3,3,000011,cc + sc,2,"similar_content, shared_column_name",0.7904191616766467,0.0,0.9301397205588823,0.9640718562874252,10,2.9
A4,4,000100,sp,1,same_page,0.8343313373253493,0.0,0.93812375249501,0.9720558882235529,10,1.6
A5,5,000101,sp + sc,2,"same_page, shared_column_name",0.7784431137724551,0.0,0.9301397205588823,0.9560878243512974,5,2.3
A6,6,000110,sp + cc,2,"same_page, similar_content",0.8323353293413174,0.0,0.93812375249501,0.9580838323353293,9,1.6
A7,7,000111,sp + cc + sc,3,"same_page, similar_content, shared_column_name",0.8163672654690619,0.0,0.9441117764471058,0.9680638722554891,8,2.8
A8,8,001000,tp,1,comes_from,0.9041916167664671,0.0,0.9540918163672655,0.9740518962075848,5,1.4
A9,9,001001,tp + sc,2,"comes_from, shared_column_name",0.8982035928143712,0.0,0.9620758483033932,0.9760479041916168,4,2.3
A10,10,001010,tp + cc,2,"comes_from, similar_content",0.908183632734531,0.0,0.9640718562874252,0.9720558882235529,7,1.4
A11,11,001011,tp + cc + sc,3,"comes_from, similar_content, shared_column_name",0.8982035928143712,0.0,0.9600798403193613,0.9780439121756487,4,2.1
A12,12,001100,tp + sp,2,"comes_from, same_page",0.8802395209580839,0.0,0.9600798403193613,0.9780439121756487,5,1.3
A13,13,001101,tp + sp + sc,3,"comes_from, same_page, shared_column_name",0.8962075848303394,0.0,0.9660678642714571,0.9760479041916168,4,2.2
A14,14,001110,tp + sp + cc,3,"comes_from, same_page, similar_content",0.9001996007984032,0.0,0.9640718562874252,0.9720558882235529,4,1.2
A15,15,001111,tp + sp + cc + sc,4,"comes_from, same_page, similar_content, shared_column_name",0.872255489021956,0.0,0.9580838323353293,0.9720558882235529,3,2.1
A16,16,010000,tc,1,has_column,0.9021956087824351,0.0,0.9640718562874252,0.9760479041916168,9,1.4
A17,17,010001,tc + sc,2,"has_column, shared_column_name",0.8702594810379242,0.0,0.9700598802395209,0.9820359281437125,4,1.7
A18,18,010010,tc + cc,2,"has_column, similar_content",0.8942115768463074,0.0,0.9680638722554891,0.9860279441117764,10,1.3
A19,19,010011,tc + cc + sc,3,"has_column, similar_content, shared_column_name",0.8862275449101796,0.0,0.9520958083832335,0.9820359281437125,9,2.3
A20,20,010100,tc + sp,2,"has_column, same_page",0.8842315369261478,0.0,0.9640718562874252,0.9820359281437125,5,1.1
A21,21,010101,tc + sp + sc,3,"has_column, same_page, shared_column_name",0.8762475049900199,0.0,0.9640718562874252,0.9760479041916168,6,2.0
A22,22,010110,tc + sp + cc,3,"has_column, same_page, similar_content",0.8662674650698603,0.0,0.9481037924151696,0.9740518962075848,5,1.1
A23,23,010111,tc + sp + cc + sc,4,"has_column, same_page, similar_content, shared_column_name",0.8682634730538922,0.0,0.9560878243512974,0.9680638722554891,10,2.5
A24,24,011000,tc + tp,2,"has_column, comes_from",0.908183632734531,0.0,0.9760479041916168,0.9900199600798403,5,1.1
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.906187624750499,0.0,0.9660678642714571,0.9760479041916168,4,1.8
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.9141716566866267,0.0,0.9740518962075848,0.9880239520958084,8,1.3
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.8922155688622755,0.0,0.9540918163672655,0.9700598802395209,6,2.1
A28,28,011100,tc + tp + sp,3,"has_column, comes_from, same_page",0.9001996007984032,0.0,0.9600798403193613,0.9680638722554891,7,1.3
A29,29,011101,tc + tp + sp + sc,4,"has_column, comes_from, same_page, shared_column_name",0.874251497005988,0.0,0.9600798403193613,0.9720558882235529,4,1.9
A30,30,011110,tc + tp + sp + cc,4,"has_column, comes_from, same_page, similar_content",0.8962075848303394,0.0,0.9600798403193613,0.9780439121756487,10,1.5
A31,31,011111,tc + tp + sp + cc + sc,5,"has_column, comes_from, same_page, similar_content, shared_column_name",0.8842315369261478,0.0,0.9600798403193613,0.9760479041916168,6,2.2
A32,32,100000,tt,1,similar_table,0.7704590818363274,0.0,0.9181636726546906,0.9520958083832335,10,1.2
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.782435129740519,0.0,0.9281437125748503,0.9560878243512974,13,2.6
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.7904191616766467,0.0,0.936127744510978,0.9720558882235529,9,1.2
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.7964071856287425,0.0,0.9281437125748503,0.9680638722554891,10,2.4
A36,36,100100,tt + sp,2,"similar_table, same_page",0.8043912175648703,0.0,0.9401197604790419,0.9680638722554891,8,1.2
A37,37,100101,tt + sp + sc,3,"similar_table, same_page, shared_column_name",0.8203592814371258,0.0,0.9321357285429142,0.9720558882235529,7,2.1
A38,38,100110,tt + sp + cc,3,"similar_table, same_page, similar_content",0.7964071856287425,0.0,0.93812375249501,0.9580838323353293,5,1.1
A39,39,100111,tt + sp + cc + sc,4,"similar_table, same_page, similar_content, shared_column_name",0.7984031936127745,0.0,0.9261477045908184,0.9560878243512974,8,2.3
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.8403193612774451,0.0,0.9461077844311377,0.9620758483033932,2,1.0
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.874251497005988,0.0,0.9600798403193613,0.9700598802395209,9,2.4
