config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A22,22,010110,tc + sp + cc,3,"has_column, same_page, similar_content",0.88,0.95,0.966,0.9128690884054227,0.9248221643505402,0.89,0.954,0.968,0.9174125878095916,,,17.8
A23,23,010111,tc + sp + cc + sc,4,"has_column, same_page, similar_content, shared_column_name",0.876,0.942,0.964,0.9067717796092795,0.9190743085431222,0.848,0.944,0.97,0.8920334854555928,,,24.2
A24,24,011000,tc + tp,2,"has_column, comes_from",0.876,0.932,0.954,0.9018166642567957,0.9134370270131488,0.894,0.944,0.97,0.9174835802209687,,,16.7
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.89,0.94,0.976,0.9160443295408767,0.9293735818333314,0.898,0.954,0.97,0.9216995354920275,,,24.5
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.888,0.956,0.962,0.9172916911522451,0.9272602296189216,0.906,0.952,0.966,0.9290511758410305,,,14.5
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.892,0.954,0.964,0.9180786993982237,0.9282389711214801,0.896,0.94,0.97,0.9176123322256645,,,18.6
A28,28,011100,tc + tp + sp,3,"has_column, comes_from, same_page",0.882,0.95,0.964,0.9133144442565225,0.9246533758111843,0.888,0.952,0.972,0.9159124888251063,,,23.6
A29,29,011101,tc + tp + sp + sc,4,"has_column, comes_from, same_page, shared_column_name",0.896,0.946,0.972,0.9201938605337923,0.931690125925043,0.88,0.95,0.966,0.9120501994020096,,,25.6
A30,30,011110,tc + tp + sp + cc,4,"has_column, comes_from, same_page, similar_content",0.896,0.956,0.968,0.923160655230655,0.9330492602218141,0.914,0.948,0.962,0.9298323683693851,,,17.2
A31,31,011111,tc + tp + sp + cc + sc,5,"has_column, comes_from, same_page, similar_content, shared_column_name",0.896,0.942,0.964,0.9196062977282282,0.9291167851054453,0.892,0.946,0.968,0.9160753251177624,,,21.7
A32,32,100000,tt,1,similar_table,0.792,0.932,0.964,0.8549104554687311,0.8803993556514832,0.732,0.918,0.95,0.8116291153145166,,,23.3
