config,code,binary,label,num_edges,kept_edges,recall@1,recall@2,recall@5,recall@10,best_epoch,elapsed_min
A0,0,000000,No edges,0,none,0.3978333333333333,0.0,0.5735,0.6916666666666665,12,0.2
A1,1,000001,sc,1,shared_column_name,0.3836666666666666,0.0,0.5635000000000001,0.6563333333333332,23,0.2
A2,2,000010,cc,1,similar_content,0.42450000000000004,0.0,0.5981666666666667,0.6835,17,0.2
A3,3,000011,cc + sc,2,"similar_content, shared_column_name",0.3403333333333333,0.0,0.5751666666666666,0.6601666666666668,22,0.2
A4,4,000100,sp,1,same_page,0.42033333333333334,0.0,0.5838333333333333,0.7011666666666667,15,0.2
A5,5,000101,sp + sc,2,"same_page, shared_column_name",0.3328333333333333,0.0,0.5555,0.6273333333333334,7,0.2
A6,6,000110,sp + cc,2,"same_page, similar_content",0.3903333333333333,0.0,0.5555,0.6525,22,0.2
A7,7,000111,sp + cc + sc,3,"same_page, similar_content, shared_column_name",0.3778333333333333,0.0,0.5710000000000001,0.6726666666666667,16,0.2
A8,8,001000,tp,1,comes_from,0.4378333333333334,0.0,0.6253333333333334,0.6978333333333333,9,0.2
A9,9,001001,tp + sc,2,"comes_from, shared_column_name",0.4186666666666666,0.0,0.6210000000000001,0.7021666666666667,17,0.2
A10,10,001010,tp + cc,2,"comes_from, similar_content",0.4028333333333333,0.0,0.6125,0.7,7,0.2
A11,11,001011,tp + cc + sc,3,"comes_from, similar_content, shared_column_name",0.4103333333333333,0.0,0.6001666666666667,0.6693333333333333,11,0.2
A12,12,001100,tp + sp,2,"comes_from, same_page",0.3828333333333333,0.0,0.5908333333333333,0.6958333333333334,9,0.2
A13,13,001101,tp + sp + sc,3,"comes_from, same_page, shared_column_name",0.3861666666666666,0.0,0.5725000000000001,0.6708333333333334,7,0.2
A14,14,001110,tp + sp + cc,3,"comes_from, same_page, similar_content",0.36283333333333334,0.0,0.6258333333333334,0.6633333333333334,6,0.2
A15,15,001111,tp + sp + cc + sc,4,"comes_from, same_page, similar_content, shared_column_name",0.32366666666666666,0.0,0.5291666666666667,0.6295000000000001,6,0.2
A16,16,010000,tc,1,has_column,0.4136666666666666,0.0,0.6271666666666667,0.6925,7,0.2
