config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.23333333333333334,0.55,0.7666666666666667,0.377052741582993,0.4593243686973523,0.21666666666666667,0.6166666666666667,0.8,0.401663317427117,,,2.4
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.2,0.6,0.75,0.37214369395017105,0.4512254867017965,0.2833333333333333,0.6166666666666667,0.8833333333333333,0.43434498524547255,,,3.0
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.31666666666666665,0.65,0.8,0.47569780437427495,0.5456496183927044,0.35,0.7,0.8833333333333333,0.4979874141610135,,,1.9
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.26666666666666666,0.6333333333333333,0.7666666666666667,0.4036078726477582,0.47814592712769194,0.3,0.5833333333333334,0.8333333333333334,0.44366581954997286,,,2.1
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.26666666666666666,0.6333333333333333,0.8166666666666667,0.43286236095571723,0.5171199367761691,0.31666666666666665,0.6833333333333333,0.8833333333333333,0.4863995041205407,,,1.7
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.2833333333333333,0.5833333333333334,0.85,0.43915530765530764,0.5280994908135018,0.21666666666666667,0.65,0.8833333333333333,0.4086370955936172,,,3.3
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.36666666666666664,0.6333333333333333,0.8166666666666667,0.5094829892329892,0.5732521049200588,0.38333333333333336,0.6333333333333333,0.8333333333333334,0.513063032646366,,,3.3
