config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.3955326460481099,0.5445017182130584,0.6278350515463919,0.5756966738505526,0.5451421893530839,0.38865979381443294,0.550171821305842,0.6687285223367698,0.565900383896139,,,3.1
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.3646048109965635,0.5015463917525774,0.6805841924398627,0.5597459064088537,0.539523678444177,0.34707903780068733,0.49175257731958766,0.6335051546391753,0.509351661383212,,,2.0
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.4109965635738831,0.545360824742268,0.6582474226804124,0.5891003896258037,0.5582477294452886,0.354295532646048,0.5716494845360826,0.6412371134020619,0.5472949599029964,,,2.1
A36,36,100100,tt + sp,2,"similar_table, same_page",0.4333333333333333,0.5604810996563575,0.6539518900343644,0.607050128738814,0.564148349483823,0.41237113402061853,0.5415807560137458,0.6360824742268042,0.5600074602479151,,,2.3
A37,37,100101,tt + sp + sc,3,"similar_table, same_page, shared_column_name",0.4024054982817869,0.6120274914089348,0.6635738831615121,0.599719393837494,0.5685789736923346,0.4161512027491408,0.5587628865979383,0.6481099656357389,0.5785483886297857,,,1.9
A38,38,100110,tt + sp + cc,3,"similar_table, same_page, similar_content",0.39381443298969065,0.5630584192439864,0.6627147766323024,0.5735256849292946,0.5472607127240154,0.42783505154639184,0.5352233676975946,0.6756013745704469,0.5859499734535013,,,1.9
A39,39,100111,tt + sp + cc + sc,4,"similar_table, same_page, similar_content, shared_column_name",0.4230240549828179,0.5407216494845362,0.6085910652920964,0.5950209668372194,0.5438659268453385,0.37835051546391757,0.5424398625429554,0.6403780068728524,0.5484874537451858,,,2.2
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.42646048109965634,0.6189003436426118,0.666151202749141,0.6209988778226252,0.5789418166313509,0.37319587628865974,0.5879725085910654,0.6764604810996564,0.5773582683864914,,,1.8
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.4144329896907217,0.5716494845360826,0.6853951890034365,0.6161367536525192,0.5827314758041259,0.374914089347079,0.5596219931271479,0.6695876288659796,0.5578399274614633,,,2.9
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.4161512027491409,0.5115120274914091,0.638659793814433,0.5939374662791326,0.5458733663284515,0.40412371134020614,0.566494845360825,0.6567010309278352,0.5805516915562494,,,2.8
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.4470790378006873,0.5857388316151203,0.6836769759450172,0.6342811709875258,0.5965230422917827,0.3800687285223367,0.6060137457044675,0.679896907216495,0.5852004071588397,,,2.7
