config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A0,0,000000,No edges,0,none,0.20359281437125748,0.22355289421157684,0.22355289421157684,0.21224218230206254,0.2151408752922729,0.001996007984031936,0.011976047904191617,0.027944111776447105,0.007673541805278333,,,28.3
A1,1,000001,sc,1,shared_column_name,0.3592814371257485,0.38922155688622756,0.3972055888223553,0.3724962772866965,0.3785123842812067,0.015968063872255488,0.05189620758483034,0.08383233532934131,0.03138088901561954,,,13.9
A2,2,000010,cc,1,similar_content,0.1936127744510978,0.20958083832335328,0.20958083832335328,0.20093147039254824,0.2031648273880813,0.005988023952095809,0.00998003992015968,0.01996007984031936,0.008715901530272787,,,18.2
A3,3,000011,cc + sc,2,"similar_content, shared_column_name",0.42714570858283435,0.47305389221556887,0.48303393213572854,0.44750499001996014,0.45628822136083613,0.005988023952095809,0.043912175648702596,0.09381237524950099,0.024072489940753408,,,15.8
A4,4,000100,sp,1,same_page,0.35728542914171657,0.37924151696606784,0.3912175648702595,0.367389823527548,0.37306527540653933,0.00998003992015968,0.023952095808383235,0.0499001996007984,0.01772169945822641,,,17.2
A5,5,000101,sp + sc,2,"same_page, shared_column_name",0.3213572854291417,0.3413173652694611,0.34930139720558884,0.32954329436365365,0.3342372214939055,0.011976047904191617,0.03792415169660679,0.0658682634730539,0.023830117542692392,,,21.7
A6,6,000110,sp + cc,2,"same_page, similar_content",0.3333333333333333,0.36327345309381237,0.36726546906187624,0.3467065868263473,0.35183616333994394,0.00998003992015968,0.02594810379241517,0.06187624750499002,0.018638912650888694,,,14.1
A7,7,000111,sp + cc + sc,3,"same_page, similar_content, shared_column_name",0.36926147704590817,0.3972055888223553,0.405189620758483,0.3836929315971232,0.3890120975894134,0.017964071856287425,0.05788423153692615,0.09181636726546906,0.038050090295599276,,,14.4
A8,8,001000,tp,1,comes_from,0.780439121756487,0.8203592814371258,0.8263473053892215,0.7969560878243512,0.8041820258385708,0.21157684630738524,0.40119760479041916,0.4870259481037924,0.29373871305009025,,,17.0
A9,9,001001,tp + sc,2,"comes_from, shared_column_name",0.780439121756487,0.8343313373253493,0.8423153692614771,0.8040332034344008,0.8135263722374705,0.10978043912175649,0.2774451097804391,0.36726546906187624,0.18203592814371258,,,13.3
A10,10,001010,tp + cc,2,"comes_from, similar_content",0.7724550898203593,0.8163672654690619,0.8243512974051896,0.7919541868643664,0.7999711577043,0.15768463073852296,0.32934131736526945,0.42714570858283435,0.22885815670246817,,,16.6
A11,11,001011,tp + cc + sc,3,"comes_from, similar_content, shared_column_name",0.7544910179640718,0.7884231536926147,0.7924151696606786,0.7680139720558882,0.7740062440137186,0.14570858283433133,0.31736526946107785,0.40718562874251496,0.21986582390774015,,,14.9
A12,12,001100,tp + sp,2,"comes_from, same_page",0.5508982035928144,0.5808383233532934,0.5848303393213573,0.5640219560878245,0.5691813414791677,0.027944111776447105,0.10778443113772455,0.16766467065868262,0.06323701802743717,,,24.7
A13,13,001101,tp + sp + sc,3,"comes_from, same_page, shared_column_name",0.6966067864271457,0.7325349301397206,0.7385229540918163,0.7098469727212242,0.7168204393693934,0.07584830339321358,0.17365269461077845,0.2554890219560878,0.12078858156702481,,,21.8
A14,14,001110,tp + sp + cc,3,"comes_from, same_page, similar_content",0.7425149700598802,0.7644710578842315,0.7684630738522954,0.7522621423819029,0.7562461270533615,0.10978043912175649,0.24550898203592814,0.3473053892215569,0.17173114089281766,,,15.6
A15,15,001111,tp + sp + cc + sc,4,"comes_from, same_page, similar_content, shared_column_name",0.8522954091816367,0.9041916167664671,0.9141716566866267,0.8748716852010263,0.8845407266826407,0.31137724550898205,0.4870259481037924,0.5948103792415169,0.3903043120108987,,,15.8
A16,16,010000,tc,1,has_column,0.6966067864271457,0.7265469061876247,0.7305389221556886,0.7085828343313373,0.7139657465449939,0.0718562874251497,0.2215568862275449,0.2894211576846307,0.13164543928016995,,,18.4
A17,17,010001,tc + sc,2,"has_column, shared_column_name",0.6127744510978044,0.6427145708582834,0.6467065868263473,0.625998003992016,0.6311604649943785,0.04590818363273453,0.11976047904191617,0.19760479041916168,0.08197969141082914,,,15.5
A18,18,010010,tc + cc,2,"has_column, similar_content",0.716566866267465,0.7644710578842315,0.7764471057884231,0.736384374108925,0.7460591044787088,0.12574850299401197,0.30538922155688625,0.4091816367265469,0.2003176187307924,,,14.1
A19,19,010011,tc + cc + sc,3,"has_column, similar_content, shared_column_name",0.7564870259481038,0.812375249500998,0.8203592814371258,0.7797318062288123,0.7897270386236731,0.08183632734530938,0.2315369261477046,0.3393213572854291,0.14960317460317468,,,15.4
A20,20,010100,tc + sp,2,"has_column, same_page",0.5748502994011976,0.6107784431137725,0.6167664670658682,0.591333998669328,0.5976268056088263,0.02594810379241517,0.11776447105788423,0.17564870259481039,0.06785951905712383,,,16.0
A21,21,010101,tc + sp + sc,3,"has_column, same_page, shared_column_name",0.5808383233532934,0.6167664670658682,0.6187624750499002,0.5945664227101353,0.6005242763109868,0.033932135728542916,0.10379241516966067,0.15568862275449102,0.06331860089345119,,,18.1
A22,22,010110,tc + sp + cc,3,"has_column, same_page, similar_content",0.6666666666666666,0.716566866267465,0.7225548902195609,0.6873475271678865,0.6960361758367428,0.0658682634730539,0.19560878243512975,0.25948103792415167,0.12266815575198821,,,18.1
A23,23,010111,tc + sp + cc + sc,4,"has_column, same_page, similar_content, shared_column_name",0.7704590818363274,0.8243512974051896,0.8323353293413174,0.794297120045623,0.8037328889902401,0.07584830339321358,0.21756487025948104,0.3313373253493014,0.1410916262712671,,,14.3
A24,24,011000,tc + tp,2,"has_column, comes_from",0.8043912175648703,0.8383233532934131,0.846307385229541,0.8188892057155532,0.8255879197632571,0.1536926147704591,0.32934131736526945,0.4431137724550898,0.23222523207553147,,,15.0
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.7385229540918163,0.7784431137724551,0.782435129740519,0.7558074327535405,0.7624462771990598,0.11377245508982035,0.26147704590818366,0.36926147704590817,0.18140465101542944,,,17.0
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.7005988023952096,0.7425149700598802,0.7564870259481038,0.7188559389158192,0.7279052646015503,0.1377245508982036,0.2754491017964072,0.3592814371257485,0.1965964895605614,,,22.1
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.8862275449101796,0.9321357285429142,0.9540918163672655,0.906677121946583,0.9179445863016615,0.4491017964071856,0.6786427145708582,0.7584830339321357,0.5480768621487183,,,14.5
A28,28,011100,tc + tp + sp,3,"has_column, comes_from, same_page",0.688622754491018,0.7325349301397206,0.7425149700598802,0.7083713525330292,0.7167530893340482,0.2155688622754491,0.3393213572854291,0.405189620758483,0.2725026138199792,,,13.6
A29,29,011101,tc + tp + sp + sc,4,"has_column, comes_from, same_page, shared_column_name",0.8942115768463074,0.9620758483033932,0.9740518962075848,0.9242649621392134,0.9365607312928311,0.6327345309381237,0.8223552894211577,0.8822355289421158,0.7158025219402463,,,19.2
A30,30,011110,tc + tp + sp + cc,4,"has_column, comes_from, same_page, similar_content",0.8483033932135728,0.8982035928143712,0.9221556886227545,0.8709739251655418,0.8831289078107241,0.34331337325349304,0.5389221556886228,0.6367265469061876,0.4280835155086652,,,13.7
A31,31,011111,tc + tp + sp + cc + sc,5,"has_column, comes_from, same_page, similar_content, shared_column_name",0.8962075848303394,0.9560878243512974,0.9760479041916168,0.9243449608719068,0.936909022531511,0.6367265469061876,0.8163672654690619,0.8802395209580839,0.714366505085068,,,24.3
A32,32,100000,tt,1,similar_table,0.3712574850299401,0.4171656686626746,0.42115768463073855,0.39169993346640053,0.39909267585327685,0.015968063872255488,0.04790419161676647,0.07784431137724551,0.031022874885150327,,,15.4
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.40119760479041916,0.437125748502994,0.43912175648702595,0.4172987358616101,0.4228183624710698,0.00998003992015968,0.0499001996007984,0.08183632734530938,0.028630041504292998,,,17.9
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.3532934131736527,0.4031936127744511,0.41317365269461076,0.3758863225929093,0.3850373294152649,0.005988023952095809,0.033932135728542916,0.06187624750499002,0.017855558723822194,,,15.6
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.3812375249500998,0.43313373253493015,0.437125748502994,0.4038256819693946,0.41219894731317724,0.007984031936127744,0.04790419161676647,0.10379241516966067,0.02876786110319043,,,14.4
A36,36,100100,tt + sp,2,"similar_table, same_page",0.36726546906187624,0.3992015968063872,0.40119760479041916,0.38157019294743844,0.38654249020467224,0.007984031936127744,0.03792415169660679,0.07784431137724551,0.022872508950353254,,,17.8
A37,37,100101,tt + sp + sc,3,"similar_table, same_page, shared_column_name",0.4231536926147705,0.47305389221556887,0.47904191616766467,0.4444967208440263,0.4530748590383519,0.013972055888223553,0.059880239520958084,0.10978043912175649,0.0364477394417514,,,15.4
A38,38,100110,tt + sp + cc,3,"similar_table, same_page, similar_content",0.3772455089820359,0.4031936127744511,0.40718562874251496,0.38742752590057983,0.39226777087878223,0.017964071856287425,0.05189620758483034,0.08183632734530938,0.030438329689826685,,,12.8
A39,39,100111,tt + sp + cc + sc,4,"similar_table, same_page, similar_content, shared_column_name",0.530938123752495,0.6007984031936128,0.6107784431137725,0.5583713525330292,0.5712112087941185,0.029940119760479042,0.09381237524950099,0.1656686626746507,0.061825555238728874,,,17.8
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.7704590818363274,0.8083832335329342,0.810379241516966,0.7860136869118904,0.7921098064702405,0.1497005988023952,0.313373253493014,0.4031936127744511,0.22090263916611216,,,13.4
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.8183632734530938,0.8662674650698603,0.872255489021956,0.8392294775528308,0.8474332851481148,0.23552894211576847,0.4491017964071856,0.5748502994011976,0.3303884294902257,,,15.2
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.7544910179640718,0.8063872255489022,0.8203592814371258,0.7764043341887653,0.7870624170968662,0.11976047904191617,0.3033932135728543,0.405189620758483,0.19814814814814818,,,13.8
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.8522954091816367,0.9141716566866267,0.9261477045908184,0.8777635205778918,0.8895193353940983,0.34331337325349304,0.5668662674650699,0.654690618762475,0.43434480245857493,,,17.1
A44,44,101100,tt + tp + sp,3,"similar_table, comes_from, same_page",0.7425149700598802,0.780439121756487,0.7904191616766467,0.759385989924912,0.7669529578584882,0.21956087824351297,0.35528942115768464,0.4471057884231537,0.2801238792256756,,,12.4
A45,45,101101,tt + tp + sp + sc,4,"similar_table, comes_from, same_page, shared_column_name",0.8942115768463074,0.9500998003992016,0.9560878243512974,0.9174539809270346,0.9270102991028191,0.5888223552894212,0.810379241516966,0.8562874251497006,0.6837515445299875,,,27.9
A46,46,101110,tt + tp + sp + cc,4,"similar_table, comes_from, same_page, similar_content",0.8043912175648703,0.8622754491017964,0.8762475049900199,0.8280106453759148,0.839681760046438,0.2714570858283433,0.46706586826347307,0.562874251497006,0.35811789120172355,,,14.4
A47,47,101111,tt + tp + sp + cc + sc,5,"similar_table, comes_from, same_page, similar_content, shared_column_name",0.8902195608782435,0.9500998003992016,0.9660678642714571,0.9164282546019074,0.9284431695345995,0.6007984031936128,0.7924151696606786,0.8502994011976048,0.6810236669518106,,,20.2
A48,48,110000,tt + tc,2,"similar_table, has_column",0.6506986027944112,0.688622754491018,0.6986027944111777,0.6659427177391248,0.6738077897072522,0.07784431137724551,0.20359281437125748,0.2994011976047904,0.13425767512593872,,,13.9
