LEARNING_RATE,HIDDEN_CHANNELS,DROPOUT,WEIGHT_DECAY,MRR,Recall@1,Recall@5,Recall@10,Best_Epoch
5.299381694251116e-05,768,0.27518027751267493,0.0018480859653590082,0.9624653925945721,0.936676798378926,0.9918946301925026,0.959349593495935,17
0.0006949873440248805,512,0.2801994953228893,0.014148858382192143,0.9812706234438757,0.9660587639311043,0.997467071935157,0.9796747967479674,6
0.0001936031215186477,512,0.4398376153289504,0.040643721185798384,0.975008914731559,0.9594731509625126,0.9934143870314083,0.9796747967479674,15
0.0005219297910114116,128,0.10431840562010178,0.0018605133437376734,0.9893194866599122,0.9797365754812564,1.0,0.967479674796748,16
7.974606215614786e-05,768,0.4053989979868242,0.03994512806482496,0.9851739277271193,0.9721377912867275,1.0,0.967479674796748,24
0.00028342859207303124,768,0.3135495112043328,0.011679131081805188,0.9971293481931781,0.9944275582573455,1.0,0.983739837398374,23
0.0005068576933664744,1024,0.2310175227212143,0.014617841277784278,0.9684718324148084,0.9437689969604863,0.9964539007092199,0.9796747967479674,4
8.148349113152193e-05,256,0.38188008109504634,0.0031447785875062676,0.9329104952945771,0.889564336372847,0.9822695035460993,0.9227642276422764,27
0.00037879766454784937,768,0.1143631145197459,0.023951450178532584,0.9802251692639229,0.9665653495440729,0.9964539007092199,0.9715447154471545,10
9.669811818332398e-05,768,0.4094633437677673,0.027546661935813385,0.9871719128558032,0.977710233029382,0.9984802431610942,0.9796747967479674,26
0.0002808154316695879,512,0.47829565735915713,0.0023287745128842754,0.9842536305302261,0.9721377912867275,0.9984802431610942,0.983739837398374,25
8.802033283486775e-05,128,0.28354779874701896,0.008753806031395679,0.9199854078978493,0.8748733535967579,0.975177304964539,0.9065040650406504,28
0.0009894598712302542,768,0.2733040813394092,0.0159966147463204,0.972554042146907,0.9513677811550152,0.9969604863221885,0.9796747967479674,4
0.00012374836589274882,512,0.24929929123549543,0.0016391040957556722,0.9738818931828049,0.9539007092198581,0.997467071935157,0.9715447154471545,6
0.0002886284523356892,128,0.21399385064238766,0.007647661692510697,0.9566006126036518,0.9235055724417427,0.9949341438703141,0.9715447154471545,18
0.0007580180496847093,512,0.2825848952503246,0.02449151616689495,0.9730649233688746,0.9533941236068896,0.9949341438703141,0.983739837398374,9
0.00038280463505040754,256,0.3476506350983249,0.019948981418378874,0.9591548627832822,0.9285714285714286,0.9954407294832827,0.959349593495935,13
