config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A56,56,111000,tt + tc + tp,3,"similar_table, has_column, comes_from",0.3,0.6833333333333333,0.85,0.46616463397713387,0.5496166328600093,0.23333333333333334,0.6666666666666666,0.8666666666666667,0.4245662838480175,,,1.6
A57,57,111001,tt + tc + tp + sc,4,"similar_table, has_column, comes_from, shared_column_name",0.31666666666666665,0.7166666666666667,0.8666666666666667,0.49048642219294386,0.5743036375702791,0.3333333333333333,0.6833333333333333,0.85,0.49174431639988914,,,1.7
A58,58,111010,tt + tc + tp + cc,4,"similar_table, has_column, comes_from, similar_content",0.2833333333333333,0.65,0.7833333333333333,0.46074848649445416,0.5281865934060558,0.43333333333333335,0.7333333333333333,0.8833333333333333,0.5655356997499853,,,1.9
A59,59,111011,tt + tc + tp + cc + sc,5,"similar_table, has_column, comes_from, similar_content, shared_column_name",0.3,0.5666666666666667,0.7666666666666667,0.4519166388105961,0.515409097696555,0.36666666666666664,0.75,0.9,0.5175808383262743,,,3.4
