config,code,binary,label,num_edges,kept_edges,recall@1,recall@2,recall@5,recall@10,best_epoch,elapsed_min
A0,0,000000,No edges,0,none,0.3841269841269841,0.0,0.6240740740740741,0.6994708994708996,5,0.2
A1,1,000001,sc,1,shared_column_name,0.32195767195767194,0.0,0.6383597883597885,0.7193121693121693,6,0.2
A2,2,000010,cc,1,similar_content,0.36428571428571427,0.0,0.5584656084656084,0.6671957671957671,5,0.2
A3,3,000011,cc + sc,2,"similar_content, shared_column_name",0.4298941798941799,0.0,0.5891534391534392,0.7074074074074075,10,0.2
A4,4,000100,sp,1,same_page,0.3544973544973545,0.0,0.6208994708994711,0.7121693121693123,7,0.2
A5,5,000101,sp + sc,2,"same_page, shared_column_name",0.28174603174603174,0.0,0.485978835978836,0.6264550264550264,5,0.2
A6,6,000110,sp + cc,2,"same_page, similar_content",0.3412698412698413,0.0,0.6645502645502646,0.7891534391534393,6,0.2
A7,7,000111,sp + cc + sc,3,"same_page, similar_content, shared_column_name",0.3134920634920635,0.0,0.5547619047619048,0.6656084656084656,6,0.2
A8,8,001000,tp,1,comes_from,0.24603174603174602,0.0,0.5407407407407406,0.7391534391534392,3,0.2
A9,9,001001,tp + sc,2,"comes_from, shared_column_name",0.3616402116402116,0.0,0.53994708994709,0.6407407407407407,4,0.2
A10,10,001010,tp + cc,2,"comes_from, similar_content",0.30158730158730157,0.0,0.6037037037037036,0.7113756613756614,4,0.2
A11,11,001011,tp + cc + sc,3,"comes_from, similar_content, shared_column_name",0.3841269841269841,0.0,0.6280423280423281,0.7224867724867726,5,0.2
A12,12,001100,tp + sp,2,"comes_from, same_page",0.35767195767195764,0.0,0.6105820105820106,0.7566137566137567,4,0.2
A13,13,001101,tp + sp + sc,3,"comes_from, same_page, shared_column_name",0.3965608465608465,0.0,0.6312169312169313,0.7447089947089948,16,0.2
A14,14,001110,tp + sp + cc,3,"comes_from, same_page, similar_content",0.4489417989417989,0.0,0.6513227513227514,0.7201058201058202,9,0.2
A15,15,001111,tp + sp + cc + sc,4,"comes_from, same_page, similar_content, shared_column_name",0.3743386243386243,0.0,0.6645502645502647,0.7415343915343916,6,0.2
A16,16,010000,tc,1,has_column,0.36957671957671956,0.0,0.6240740740740741,0.6748677248677248,6,0.2
A17,17,010001,tc + sc,2,"has_column, shared_column_name",0.37222222222222223,0.0,0.5756613756613757,0.6936507936507936,5,0.2
A18,18,010010,tc + cc,2,"has_column, similar_content",0.4489417989417989,0.0,0.6764550264550265,0.758994708994709,9,0.2
A19,19,010011,tc + cc + sc,3,"has_column, similar_content, shared_column_name",0.38544973544973543,0.0,0.5955026455026454,0.7367724867724869,9,0.2
A20,20,010100,tc + sp,2,"has_column, same_page",0.42116402116402113,0.0,0.6208994708994711,0.7137566137566138,10,0.2
