config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A22,22,010110,tc + sp + cc,3,"has_column, same_page, similar_content",0.36822916666666666,0.5828125,0.6802083333333333,0.5366655892837361,0.5458819243083992,0.32395833333333335,0.5682291666666667,0.7036458333333333,0.4804529191241238,,,1.5
A23,23,010111,tc + sp + cc + sc,4,"has_column, same_page, similar_content, shared_column_name",0.4125,0.6182291666666666,0.7234375,0.5803418093554898,0.5800980654307438,0.39166666666666666,0.5859375,0.7046874999999999,0.5534682093869596,,,1.5
A24,24,011000,tc + tp,2,"has_column, comes_from",0.44375,0.5802083333333334,0.6671874999999998,0.5904781265389987,0.5655665191248217,0.43854166666666666,0.5734375,0.6807291666666666,0.5814534170307244,,,1.2
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.47760416666666666,0.6062500000000001,0.70625,0.6194386131978045,0.5977965014090368,0.3630208333333333,0.6015625,0.7114583333333333,0.5340788202081693,,,1.4
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.4645833333333333,0.6708333333333333,0.7229166666666667,0.609623973085566,0.6103258844780332,0.3864583333333333,0.5770833333333334,0.6901041666666666,0.5468007417131375,,,1.8
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.396875,0.5973958333333333,0.7369791666666666,0.5635432446127038,0.5762276204223702,0.3265625,0.5427083333333333,0.6869791666666666,0.5089698303991492,,,1.5
A28,28,011100,tc + tp + sp,3,"has_column, comes_from, same_page",0.35260416666666666,0.640625,0.6833333333333333,0.5461530946507238,0.5496308279578561,0.37604166666666666,0.6098958333333333,0.6885416666666666,0.5509687835766508,,,1.4
A29,29,011101,tc + tp + sp + sc,4,"has_column, comes_from, same_page, shared_column_name",0.39947916666666666,0.5786458333333333,0.6322916666666667,0.5592612375126278,0.5373297680285343,0.4177083333333333,0.6135416666666667,0.6802083333333333,0.5778628198322361,,,2.2
A30,30,011110,tc + tp + sp + cc,4,"has_column, comes_from, same_page, similar_content",0.42291666666666666,0.6333333333333333,0.7203125,0.5864242878884615,0.5915911041878328,0.32135416666666666,0.6255208333333333,0.7375,0.5189443928169912,,,1.7
A31,31,011111,tc + tp + sp + cc + sc,5,"has_column, comes_from, same_page, similar_content, shared_column_name",0.41562499999999997,0.6427083333333333,0.7447916666666666,0.599799418636125,0.5987863859037644,0.36822916666666666,0.5901041666666667,0.7338541666666667,0.5425239967992098,,,1.4
A32,32,100000,tt,1,similar_table,0.3317708333333333,0.53125,0.6760416666666667,0.49914147014914156,0.5104805844836583,0.3130208333333333,0.5208333333333333,0.6494791666666666,0.45050416772173507,,,1.5
