config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A22,22,010110,tc + sp + cc,3,"has_column, same_page, similar_content",0.4161512027491409,0.6266323024054984,0.7159793814432991,0.6078260776516803,0.5967304877223881,0.42646048109965634,0.6128865979381445,0.7082474226804125,0.6147907122427362,,,1.7
A23,23,010111,tc + sp + cc + sc,4,"has_column, same_page, similar_content, shared_column_name",0.4333333333333333,0.5931271477663231,0.6498281786941581,0.6230742305362491,0.5762477284743482,0.47285223367697604,0.6029209621993128,0.6810996563573882,0.64807632656181,,,2.9
A24,24,011000,tc + tp,2,"has_column, comes_from",0.46082474226804127,0.5943298969072166,0.675085910652921,0.6478048638272348,0.5988495995459728,0.40927835051546385,0.6060137457044675,0.6884879725085912,0.5990947036587427,,,2.0
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.47285223367697604,0.5785223367697596,0.6725085910652923,0.6608832824761918,0.5980387193453914,0.45567010309278355,0.5750859106529211,0.6773195876288661,0.633565752299754,,,2.1
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.4298969072164949,0.5690721649484538,0.6556701030927836,0.6146602992183328,0.5686176337732469,0.43505154639175253,0.5785223367697596,0.6927835051546394,0.6251682412059517,,,3.0
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.4298969072164949,0.5613402061855672,0.6498281786941581,0.6172465034714087,0.5731374375581483,0.3920962199312715,0.5974226804123713,0.6807560137457046,0.5918128813717031,,,3.4
A28,28,011100,tc + tp + sp,3,"has_column, comes_from, same_page",0.4333333333333334,0.627491408934708,0.7194158075601375,0.6422902782120874,0.6062467783033504,0.42474226804123716,0.5939862542955328,0.6919243986254296,0.6193244712610865,,,2.7
A29,29,011101,tc + tp + sp + sc,4,"has_column, comes_from, same_page, shared_column_name",0.44707903780068736,0.6300687285223369,0.6816151202749142,0.6342020715502215,0.5975721872345894,0.40927835051546396,0.5785223367697596,0.6833333333333335,0.6011325897009486,,,1.9
A30,30,011110,tc + tp + sp + cc,4,"has_column, comes_from, same_page, similar_content",0.4608247422680413,0.638659793814433,0.6927835051546392,0.6561581477631856,0.608893776704493,0.3989690721649484,0.5965635738831616,0.6970790378006874,0.6057009120325201,,,2.5
A31,31,011111,tc + tp + sp + cc + sc,5,"has_column, comes_from, same_page, similar_content, shared_column_name",0.43505154639175253,0.5647766323024056,0.6833333333333336,0.6230496385236199,0.5858560109354275,0.4195876288659794,0.5991408934707905,0.6652920962199314,0.6103859425029149,,,2.1
A32,32,100000,tt,1,similar_table,0.40412371134020614,0.5719931271477664,0.6561855670103094,0.6007357107419932,0.5604781382855664,0.3883161512027491,0.5006872852233677,0.5926116838487973,0.542555911966355,,,3.0
