config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A24,24,011000,tc + tp,2,"has_column, comes_from",0.43333333333333335,0.8,0.95,0.5922378547378548,0.6757256945590107,0.36666666666666664,0.8666666666666667,0.95,0.5700692024777391,,,2.7
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.36666666666666664,0.7166666666666667,0.8833333333333333,0.5121073271888489,0.5950875974460855,0.31666666666666665,0.7333333333333333,0.9,0.49290744749078075,,,2.7
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.3333333333333333,0.65,0.8333333333333334,0.48625164090434236,0.5601821718621636,0.4,0.7666666666666667,0.8833333333333333,0.5558854327861682,,,2.2
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.2833333333333333,0.7166666666666667,0.7833333333333333,0.45042807886557873,0.5205586984496273,0.3,0.75,0.8833333333333333,0.4757879188712522,,,2.0
A32,32,100000,tt,1,similar_table,0.26666666666666666,0.6666666666666666,0.7666666666666667,0.436669956047118,0.5073330015034542,0.21666666666666667,0.55,0.7666666666666667,0.40182791427737513,,,2.9
