config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.3708333333333333,0.6020833333333333,0.6880208333333333,0.532751350807417,0.5428387379681974,0.3317708333333333,0.5994791666666666,0.6916666666666667,0.5104476087649413,,,1.2
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.38125,0.5322916666666666,0.6390625,0.521648786672681,0.5164743381790748,0.3286458333333333,0.45572916666666663,0.65625,0.4513607728857913,,,1.4
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.35,0.503125,0.6526041666666667,0.49653768400770326,0.502430422944349,0.2953125,0.5338541666666667,0.6859375,0.44748975041674,,,1.5
A36,36,100100,tt + sp,2,"similar_table, same_page",0.3364583333333333,0.5192708333333333,0.6244791666666667,0.48957861455480467,0.48510095473546155,0.3520833333333333,0.5369791666666667,0.6630208333333333,0.49358667838314224,,,1.0
A37,37,100101,tt + sp + sc,3,"similar_table, same_page, shared_column_name",0.3708333333333333,0.5572916666666667,0.6692708333333333,0.5227648137349669,0.5259712808449528,0.3364583333333333,0.5348958333333333,0.7,0.49613578415037807,,,1.8
A38,38,100110,tt + sp + cc,3,"similar_table, same_page, similar_content",0.3708333333333333,0.56875,0.6499999999999999,0.5262842038800408,0.5292115046927025,0.3208333333333333,0.5260416666666667,0.7005208333333333,0.4580554152092636,,,1.6
A39,39,100111,tt + sp + cc + sc,4,"similar_table, same_page, similar_content, shared_column_name",0.365625,0.5973958333333333,0.7072916666666667,0.522201568371745,0.5344923033866695,0.31875,0.5338541666666666,0.6729166666666666,0.4739053583220855,,,1.4
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.3708333333333333,0.5578125,0.7208333333333333,0.5405820055234118,0.5559902554877135,0.3083333333333333,0.5526041666666666,0.6489583333333333,0.4727355456097161,,,1.4
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.39166666666666666,0.6333333333333333,0.7218749999999999,0.5706989328288671,0.571955237962338,0.33177083333333335,0.6359375,0.7114583333333333,0.5165697258470695,,,1.4
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.4020833333333333,0.6229166666666666,0.7166666666666667,0.5549699993633818,0.5722146286998008,0.3286458333333333,0.5182291666666666,0.6796875,0.4708287162546234,,,1.8
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.4020833333333333,0.5567708333333333,0.6770833333333333,0.5606377283552307,0.5539290276023359,0.3864583333333333,0.5979166666666667,0.715625,0.5513008555689478,,,1.1
