config,code,binary,label,num_edges,kept_edges,recall@1,recall@2,recall@5,recall@10,best_epoch,elapsed_min
A0,0,000000,No edges,0,none,0.39344262295081966,0.0,0.6885245901639344,0.8360655737704918,11,0.4
A1,1,000001,sc,1,shared_column_name,0.4098360655737705,0.0,0.6885245901639344,0.8524590163934426,4,0.3
A2,2,000010,cc,1,similar_content,0.4426229508196721,0.0,0.8032786885245902,0.9180327868852459,3,0.3
A3,3,000011,cc + sc,2,"similar_content, shared_column_name",0.4098360655737705,0.0,0.7540983606557377,0.8688524590163934,5,0.3
A8,8,001000,tp,1,comes_from,0.39344262295081966,0.0,0.8032786885245902,0.9180327868852459,2,0.3
A9,9,001001,tp + sc,2,"comes_from, shared_column_name",0.3770491803278688,0.0,0.7049180327868853,0.8524590163934426,5,0.4
A10,10,001010,tp + cc,2,"comes_from, similar_content",0.4098360655737705,0.0,0.819672131147541,0.9180327868852459,2,0.4
A11,11,001011,tp + cc + sc,3,"comes_from, similar_content, shared_column_name",0.4426229508196721,0.0,0.7049180327868853,0.8524590163934426,2,0.4
A16,16,010000,tc,1,has_column,0.5081967213114754,0.0,0.819672131147541,0.9016393442622951,4,0.4
A17,17,010001,tc + sc,2,"has_column, shared_column_name",0.4262295081967213,0.0,0.8032786885245902,0.8688524590163934,12,0.3
A18,18,010010,tc + cc,2,"has_column, similar_content",0.39344262295081966,0.0,0.7868852459016393,0.9180327868852459,3,0.4
A19,19,010011,tc + cc + sc,3,"has_column, similar_content, shared_column_name",0.5409836065573771,0.0,0.819672131147541,0.9180327868852459,4,0.3
A24,24,011000,tc + tp,2,"has_column, comes_from",0.4918032786885246,0.0,0.8688524590163934,0.9180327868852459,3,0.3
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.39344262295081966,0.0,0.8524590163934426,0.9016393442622951,3,0.3
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.5245901639344263,0.0,0.8524590163934426,0.9016393442622951,4,0.4
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.3114754098360656,0.0,0.8032786885245902,0.8852459016393442,7,0.5
A32,32,100000,tt,1,similar_table,0.26229508196721313,0.0,0.7049180327868853,0.8524590163934426,6,0.5
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.29508196721311475,0.0,0.6721311475409836,0.9016393442622951,11,0.4
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.29508196721311475,0.0,0.7540983606557377,0.819672131147541,7,0.4
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.3114754098360656,0.0,0.7377049180327869,0.8688524590163934,9,0.4
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.4098360655737705,0.0,0.7049180327868853,0.8688524590163934,6,0.3
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.29508196721311475,0.0,0.7704918032786885,0.9016393442622951,4,0.3
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.32786885245901637,0.0,0.639344262295082,0.7868852459016393,2,0.2
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.36065573770491804,0.0,0.6557377049180327,0.8852459016393442,12,0.5
A48,48,110000,tt + tc,2,"similar_table, has_column",0.32786885245901637,0.0,0.7049180327868853,0.8852459016393442,5,0.4
A49,49,110001,tt + tc + sc,3,"similar_table, has_column, shared_column_name",0.45901639344262296,0.0,0.7049180327868853,0.8360655737704918,9,0.5
A50,50,110010,tt + tc + cc,3,"similar_table, has_column, similar_content",0.2786885245901639,0.0,0.7213114754098361,0.8032786885245902,3,0.4
A51,51,110011,tt + tc + cc + sc,4,"similar_table, has_column, similar_content, shared_column_name",0.2786885245901639,0.0,0.6721311475409836,0.8360655737704918,7,0.3
A56,56,111000,tt + tc + tp,3,"similar_table, has_column, comes_from",0.39344262295081966,0.0,0.7704918032786885,0.8852459016393442,6,0.4
A57,57,111001,tt + tc + tp + sc,4,"similar_table, has_column, comes_from, shared_column_name",0.39344262295081966,0.0,0.7049180327868853,0.8032786885245902,3,0.3
A58,58,111010,tt + tc + tp + cc,4,"similar_table, has_column, comes_from, similar_content",0.36065573770491804,0.0,0.7049180327868853,0.8524590163934426,11,0.4
A59,59,111011,tt + tc + tp + cc + sc,5,"similar_table, has_column, comes_from, similar_content, shared_column_name",0.36065573770491804,0.0,0.6885245901639344,0.819672131147541,5,0.3
