config,code,binary,label,num_edges,kept_edges,recall@1,recall@2,recall@5,recall@10,best_epoch,elapsed_min
A24,24,011000,tc + tp,2,"has_column, comes_from",0.0,0.49321236559139797,0.6373655913978492,0.7274193548387095,4,0.3
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.0,0.49388440860215055,0.6558467741935484,0.7907258064516128,2,0.3
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.0,0.5083333333333334,0.7065860215053763,0.8030241935483873,2,0.3
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.0,0.49119623655913974,0.6548387096774194,0.7604838709677418,3,0.3
A28,28,011100,tc + tp + sp,3,"has_column, comes_from, same_page",0.0,0.5009408602150539,0.6531586021505376,0.7472446236559139,4,0.3
A29,29,011101,tc + tp + sp + sc,4,"has_column, comes_from, same_page, shared_column_name",0.0,0.4922043010752688,0.6699596774193547,0.7818548387096772,2,0.3
A30,30,011110,tc + tp + sp + cc,4,"has_column, comes_from, same_page, similar_content",0.0,0.5133736559139784,0.6793682795698923,0.8043682795698924,2,0.3
A31,31,011111,tc + tp + sp + cc + sc,5,"has_column, comes_from, same_page, similar_content, shared_column_name",0.0,0.5106854838709678,0.6417338709677417,0.7479166666666663,6,0.3
A32,32,100000,tt,1,similar_table,0.0,0.49321236559139797,0.623051075268817,0.7262096774193546,6,0.3
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.0,0.5056451612903226,0.6447580645161287,0.7465725806451612,6,0.3
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.0,0.5009408602150539,0.6336693548387097,0.7302419354838708,5,0.3
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.0,0.500268817204301,0.6324596774193548,0.738978494623656,6,0.3
A36,36,100100,tt + sp,2,"similar_table, same_page",0.0,0.4935483870967741,0.6195564516129032,0.6981854838709676,7,0.3
A37,37,100101,tt + sp + sc,3,"similar_table, same_page, shared_column_name",0.0,0.4995967741935483,0.6323252688172041,0.7217069892473116,8,0.3
A38,38,100110,tt + sp + cc,3,"similar_table, same_page, similar_content",0.0,0.49758064516129036,0.6276209677419353,0.7304435483870965,7,0.3
A39,39,100111,tt + sp + cc + sc,4,"similar_table, same_page, similar_content, shared_column_name",0.0,0.4955645161290322,0.6665994623655913,0.7506048387096773,4,0.7
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.0,0.4743951612903225,0.6504704301075267,0.7405241935483872,2,0.6
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.0,0.511021505376344,0.6558467741935483,0.7485887096774194,5,0.3
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.0,0.5150537634408601,0.6420698924731181,0.7425403225806452,4,1.1
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.0,0.5022849462365592,0.6430779569892472,0.7254032258064516,4,1.1
A44,44,101100,tt + tp + sp,3,"similar_table, comes_from, same_page",0.0,0.5056451612903224,0.6565188172043009,0.7354838709677418,5,1.0
A45,45,101101,tt + tp + sp + sc,4,"similar_table, comes_from, same_page, shared_column_name",0.0,0.5029569892473119,0.6427419354838709,0.7294354838709677,7,0.9
A46,46,101110,tt + tp + sp + cc,4,"similar_table, comes_from, same_page, similar_content",0.0,0.49321236559139775,0.6481182795698924,0.7453629032258066,3,0.7
A47,47,101111,tt + tp + sp + cc + sc,5,"similar_table, comes_from, same_page, similar_content, shared_column_name",0.0,0.4905241935483871,0.6464381720430109,0.7650537634408601,2,0.9
A48,48,110000,tt + tc,2,"similar_table, has_column",0.0,0.5211021505376342,0.6635752688172041,0.7422043010752686,8,1.3
A49,49,110001,tt + tc + sc,3,"similar_table, has_column, shared_column_name",0.0,0.5147177419354838,0.6867607526881719,0.7675403225806453,3,0.7
A50,50,110010,tt + tc + cc,3,"similar_table, has_column, similar_content",0.0,0.5163978494623656,0.66505376344086,0.7520833333333333,9,0.9
A51,51,110011,tt + tc + cc + sc,4,"similar_table, has_column, similar_content, shared_column_name",0.0,0.5274865591397849,0.6682795698924726,0.7546370967741932,4,0.7
A52,52,110100,tt + tc + sp,3,"similar_table, has_column, same_page",0.0,0.5143817204301075,0.6709677419354837,0.7660618279569893,5,1.0
A53,53,110101,tt + tc + sp + sc,4,"similar_table, has_column, same_page, shared_column_name",0.0,0.5130376344086021,0.6823924731182794,0.7811827956989246,4,1.1
A54,54,110110,tt + tc + sp + cc,4,"similar_table, has_column, same_page, similar_content",0.0,0.5137096774193548,0.6699596774193547,0.7573252688172043,7,0.4
A55,55,110111,tt + tc + sp + cc + sc,5,"similar_table, has_column, same_page, similar_content, shared_column_name",0.0,0.5163978494623656,0.6400537634408601,0.7378360215053762,4,0.7
A56,56,111000,tt + tc + tp,3,"similar_table, has_column, comes_from",0.0,0.5197580645161289,0.6692876344086021,0.7554435483870969,5,0.7
A57,57,111001,tt + tc + tp + sc,4,"similar_table, has_column, comes_from, shared_column_name",0.0,0.5120295698924732,0.6790322580645162,0.7873655913978496,4,0.9
A58,58,111010,tt + tc + tp + cc,4,"similar_table, has_column, comes_from, similar_content",0.0,0.5476478494623656,0.6662634408602149,0.7526209677419354,4,1.1
A59,59,111011,tt + tc + tp + cc + sc,5,"similar_table, has_column, comes_from, similar_content, shared_column_name",0.0,0.5338709677419353,0.6773521505376342,0.7606854838709676,5,0.8
A60,60,111100,tt + tc + tp + sp,4,"similar_table, has_column, comes_from, same_page",0.0,0.5163978494623654,0.6764784946236558,0.7702284946236561,2,0.7
A61,61,111101,tt + tc + tp + sp + sc,5,"similar_table, has_column, comes_from, same_page, shared_column_name",0.0,0.5140456989247312,0.6440860215053761,0.731787634408602,7,0.7
A62,62,111110,tt + tc + tp + sp + cc,5,"similar_table, has_column, comes_from, same_page, similar_content",0.0,0.5066532258064518,0.6410618279569892,0.7452284946236559,6,1.1
A63,63,111111,tt + tc + tp + sp + cc + sc,6,"similar_table, has_column, comes_from, same_page, similar_content, shared_column_name",0.0,0.5073252688172042,0.6494623655913977,0.7321236559139783,6,1.2
