config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.814,0.914,0.95,0.8644410054296494,0.8836109437676726,0.778,0.914,0.94,0.8370187173712278,,,24.7
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.796,0.914,0.954,0.8471149614540234,0.8713834551885141,0.748,0.902,0.936,0.8196403123278867,,,17.0
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.802,0.908,0.944,0.8506271558341747,0.871266643077214,0.806,0.922,0.95,0.8564952887145872,,,21.3
A36,36,100100,tt + sp,2,"similar_table, same_page",0.838,0.932,0.958,0.8814188196003981,0.8986892445964995,0.822,0.912,0.954,0.8651469991864514,,,19.7
A37,37,100101,tt + sp + sc,3,"similar_table, same_page, shared_column_name",0.82,0.926,0.952,0.8678407060730338,0.8869343883119818,0.78,0.912,0.956,0.841979533150309,,,19.9
A38,38,100110,tt + sp + cc,3,"similar_table, same_page, similar_content",0.818,0.938,0.954,0.8722990736609643,0.8912976534291571,0.8,0.922,0.952,0.854937070876794,,,14.3
A39,39,100111,tt + sp + cc + sc,4,"similar_table, same_page, similar_content, shared_column_name",0.798,0.92,0.95,0.8518256599194253,0.8742197085315286,0.744,0.896,0.942,0.8120098565124464,,,16.1
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.892,0.938,0.972,0.9149160331740962,0.927712115085383,0.88,0.938,0.964,0.9061782366526893,,,15.2
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.884,0.94,0.954,0.9102748077663549,0.9195288335537245,0.876,0.946,0.958,0.905239360761608,,,20.9
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.896,0.95,0.964,0.9199367405342606,0.9297711873394923,0.898,0.942,0.96,0.9206313584397637,,,17.2
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.872,0.938,0.956,0.90269158280249,0.9146954741385195,0.878,0.938,0.964,0.9041375545465038,,,25.8
