config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A48,48,110000,tt + tc,2,"similar_table, has_column",0.25,0.65,0.8166666666666667,0.43087361712361716,0.5144120490482956,0.31666666666666665,0.7333333333333333,0.9,0.49778851624281734,,,1.4
A49,49,110001,tt + tc + sc,3,"similar_table, has_column, shared_column_name",0.38333333333333336,0.75,0.8833333333333333,0.5314665110717741,0.6101344000143942,0.4,0.7833333333333333,0.9166666666666666,0.5542250555060455,,,1.5
A50,50,110010,tt + tc + cc,3,"similar_table, has_column, similar_content",0.3,0.7,0.8666666666666667,0.4756868508216547,0.5620632916336505,0.3,0.6,0.8833333333333333,0.4547961852961852,,,1.9
A51,51,110011,tt + tc + cc + sc,4,"similar_table, has_column, similar_content, shared_column_name",0.3333333333333333,0.6333333333333333,0.85,0.4742548227738444,0.5565468109947359,0.2833333333333333,0.6166666666666667,0.8166666666666667,0.44419000063833647,,,2.4
