config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A54,54,110110,tt + tc + sp + cc,4,"similar_table, has_column, same_page, similar_content",0.44020618556701036,0.557044673539519,0.6395189003436427,0.6222930087300236,0.5730985464675792,0.4178694158075601,0.5656357388316152,0.6498281786941582,0.6081063952922292,,,3.7
A55,55,110111,tt + tc + sp + cc + sc,5,"similar_table, has_column, same_page, similar_content, shared_column_name",0.44192439862542954,0.5664948453608248,0.6420962199312716,0.6177862279626261,0.5656148160039699,0.39381443298969065,0.6077319587628867,0.679896907216495,0.5805160509045684,,,2.1
A56,56,111000,tt + tc + tp,3,"similar_table, has_column, comes_from",0.4367697594501718,0.6080756013745705,0.6939862542955326,0.6384699682060868,0.5962277974195427,0.374914089347079,0.5699312714776633,0.6833333333333335,0.570906390041172,,,2.4
A57,57,111001,tt + tc + tp + sc,4,"similar_table, has_column, comes_from, shared_column_name",0.49175257731958766,0.6403780068728523,0.6853951890034365,0.6734110123342717,0.6251760136368223,0.4350515463917526,0.5879725085910654,0.7048109965635739,0.621421886619185,,,2.2
A58,58,111010,tt + tc + tp + cc,4,"similar_table, has_column, comes_from, similar_content",0.40927835051546385,0.6000000000000002,0.704639175257732,0.6178768655447617,0.5847964293822808,0.44020618556701036,0.5793814432989692,0.6676975945017184,0.6200411995395098,,,2.0
A59,59,111011,tt + tc + tp + cc + sc,5,"similar_table, has_column, comes_from, similar_content, shared_column_name",0.459106529209622,0.5982817869415809,0.6707903780068729,0.6520320716962623,0.5962132401992222,0.44020618556701036,0.5702749140893472,0.691408934707904,0.6251637330269942,,,2.4
A60,60,111100,tt + tc + tp + sp,4,"similar_table, has_column, comes_from, same_page",0.4676975945017182,0.5853951890034367,0.6987972508591067,0.6369889412188959,0.6002263510494603,0.37319587628865974,0.5871134020618558,0.6781786941580757,0.5800761464503669,,,1.7
A61,61,111101,tt + tc + tp + sp + sc,5,"similar_table, has_column, comes_from, same_page, shared_column_name",0.4367697594501718,0.6025773195876291,0.6458762886597939,0.6245076661442641,0.5739741284768449,0.3903780068728522,0.5613402061855671,0.6558419243986255,0.5829203202017638,,,2.6
A62,62,111110,tt + tc + tp + sp + cc,5,"similar_table, has_column, comes_from, same_page, similar_content",0.43848797250859106,0.6111683848797251,0.6764604810996564,0.6314995038539613,0.5876177468695846,0.40927835051546385,0.5493127147766325,0.6781786941580757,0.5734354380279937,,,2.6
A63,63,111111,tt + tc + tp + sp + cc + sc,6,"similar_table, has_column, comes_from, same_page, similar_content, shared_column_name",0.4556701030927836,0.5699312714776633,0.6407216494845361,0.6335203940190495,0.5768525415021425,0.3766323024054983,0.53213058419244,0.6764604810996564,0.5493324772053175,,,1.9
